,contig_id,e-value,sample_id,seq_length,taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,GOLD Analysis Project Type,GOLD Sequencing Project ID,Geographic Location,Latitude,Longitude,Oxygen Concentration,pH,Salinity,Salinity Concentration,Sample Collection Temperature,Genome Size   * assembled,Gene Count   * assembled,Genome Bin Count   * assembled,temperature_num,pH_num,pH_low,pH_high,pH_avg,pH_range
0,Ga0105118_10012811,2.5e-166,3300007815,426,3300007815,*Microbiome,Permanent Draft,Extremophilic microbial mat communities from USA and Mexico,"Extremophilic microbial mat communities from Yellowstone National Park, USA - OSPB_Mat_virus_9_15",DOE Joint Genome Institute (JGI),3300007815.0,Metagenome Analysis,Gp0127667,"Yellowstone National Park, USA",44.733,-110.709,,3,,,78 C,39320922,136240,0.0,78.0,3.0,3.0,3.0,3.0,0.0
1,Ga0105118_10105071,2.4e-73,3300007815,181,3300007815,*Microbiome,Permanent Draft,Extremophilic microbial mat communities from USA and Mexico,"Extremophilic microbial mat communities from Yellowstone National Park, USA - OSPB_Mat_virus_9_15",DOE Joint Genome Institute (JGI),3300007815.0,Metagenome Analysis,Gp0127667,"Yellowstone National Park, USA",44.733,-110.709,,3,,,78 C,39320922,136240,0.0,78.0,3.0,3.0,3.0,3.0,0.0
2,Ga0129303_1017222,1.8e-187,3300010258,488,3300010258,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Hot spring sediment bacterial and archeal communities from California, USA to study Microbial Dark Matter (Phase II) - Elbow Spring sediment metaG",DOE Joint Genome Institute (JGI),3300010258.0,Metagenome Analysis,Gp0147103,USA: California,39.0348,-122.4271,,8.17,,,,28851082,69015,2.0,,8.17,8.17,8.17,8.17,0.0
3,Ga0131805_10006666,1.5e-200,3300009825,532,3300009825,*Microbiome,Permanent Draft,"Wastewater microbial communities from Base Mine Lake, Ft. McMurray, Alberta, Canada - Surface, May 2015","Hot spring soil microbial communities from Dewar Creek, Kimberly, BC, Canada - 2010, Sample 6",University of Calgary,3300009825.0,Metagenome Analysis,Gp0149104,"Dewar Creek, BC, Canada",49.9543667,-116.5155,,7.46,,,77.4 C,41844300,55599,0.0,77.4,7.46,7.46,7.46,7.46,0.0
4,Ga0131805_10005867,1.8e-199,3300009825,528,3300009825,*Microbiome,Permanent Draft,"Wastewater microbial communities from Base Mine Lake, Ft. McMurray, Alberta, Canada - Surface, May 2015","Hot spring soil microbial communities from Dewar Creek, Kimberly, BC, Canada - 2010, Sample 6",University of Calgary,3300009825.0,Metagenome Analysis,Gp0149104,"Dewar Creek, BC, Canada",49.9543667,-116.5155,,7.46,,,77.4 C,41844300,55599,0.0,77.4,7.46,7.46,7.46,7.46,0.0
5,Ga0131805_10005242,1e-189,3300009825,528,3300009825,*Microbiome,Permanent Draft,"Wastewater microbial communities from Base Mine Lake, Ft. McMurray, Alberta, Canada - Surface, May 2015","Hot spring soil microbial communities from Dewar Creek, Kimberly, BC, Canada - 2010, Sample 6",University of Calgary,3300009825.0,Metagenome Analysis,Gp0149104,"Dewar Creek, BC, Canada",49.9543667,-116.5155,,7.46,,,77.4 C,41844300,55599,0.0,77.4,7.46,7.46,7.46,7.46,0.0
6,Ga0131805_10000389,7.600000000000001e-167,3300009825,520,3300009825,*Microbiome,Permanent Draft,"Wastewater microbial communities from Base Mine Lake, Ft. McMurray, Alberta, Canada - Surface, May 2015","Hot spring soil microbial communities from Dewar Creek, Kimberly, BC, Canada - 2010, Sample 6",University of Calgary,3300009825.0,Metagenome Analysis,Gp0149104,"Dewar Creek, BC, Canada",49.9543667,-116.5155,,7.46,,,77.4 C,41844300,55599,0.0,77.4,7.46,7.46,7.46,7.46,0.0
7,Ga0131805_1001265,2.3e-153,3300009825,449,3300009825,*Microbiome,Permanent Draft,"Wastewater microbial communities from Base Mine Lake, Ft. McMurray, Alberta, Canada - Surface, May 2015","Hot spring soil microbial communities from Dewar Creek, Kimberly, BC, Canada - 2010, Sample 6",University of Calgary,3300009825.0,Metagenome Analysis,Gp0149104,"Dewar Creek, BC, Canada",49.9543667,-116.5155,,7.46,,,77.4 C,41844300,55599,0.0,77.4,7.46,7.46,7.46,7.46,0.0
8,Ga0131805_1137861,5.5e-56,3300009825,147,3300009825,*Microbiome,Permanent Draft,"Wastewater microbial communities from Base Mine Lake, Ft. McMurray, Alberta, Canada - Surface, May 2015","Hot spring soil microbial communities from Dewar Creek, Kimberly, BC, Canada - 2010, Sample 6",University of Calgary,3300009825.0,Metagenome Analysis,Gp0149104,"Dewar Creek, BC, Canada",49.9543667,-116.5155,,7.46,,,77.4 C,41844300,55599,0.0,77.4,7.46,7.46,7.46,7.46,0.0
9,Ga0131805_1121471,7.9e-50,3300009825,160,3300009825,*Microbiome,Permanent Draft,"Wastewater microbial communities from Base Mine Lake, Ft. McMurray, Alberta, Canada - Surface, May 2015","Hot spring soil microbial communities from Dewar Creek, Kimberly, BC, Canada - 2010, Sample 6",University of Calgary,3300009825.0,Metagenome Analysis,Gp0149104,"Dewar Creek, BC, Canada",49.9543667,-116.5155,,7.46,,,77.4 C,41844300,55599,0.0,77.4,7.46,7.46,7.46,7.46,0.0
10,YNPsite18_CeleraDRAFT_302570,1.1e-202,2022920019,518,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
11,YNPsite18_CeleraDRAFT_270010,4.2000000000000003e-193,2022920019,517,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
12,YNPsite18_CeleraDRAFT_430770,6.9e-184,2022920019,493,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
13,YNPsite18_CeleraDRAFT_324620,1.6e-118,2022920019,290,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
