,bin_name,completeness,contamination,quality,16S/23S/5SrRNAs,tRNAs,lineage,taxon_oid,temp,total_base,gene_count,copy_number,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,GOLD Analysis Project Type,GOLD Sequencing Project ID,Geographic Location,Latitude,Longitude,Oxygen Concentration,pH,Salinity,Salinity Concentration,Sample Collection Temperature,Genome Size   * assembled,Gene Count   * assembled,Genome Bin Count   * assembled,temperature_num,pH_num,pH_low,pH_high,pH_avg,pH_range,grs_present,estimated genome size
899,3300000865_13,80.09,1.09,MQ,,,Bacteria,3300000865,,1612427,1585,0,*Microbiome,Permanent Draft,"Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes","Hot spring sediment from Gongxiaoshe in Tengchong, China",Stanford University,3300000865,Metagenome Analysis,Gp0056412,"Gongxiaoshe pool, Tengchong, China",25.44012,98.44081,,7.29,,,73.8 C,71805996,93343,11,73.8,7.29,7.29,7.29,7.29,0,0,89656631.29
900,3300000865_16,82.28,0.85,MQ,,,Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae,3300000865,,1282946,1594,0,*Microbiome,Permanent Draft,"Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes","Hot spring sediment from Gongxiaoshe in Tengchong, China",Stanford University,3300000865,Metagenome Analysis,Gp0056412,"Gongxiaoshe pool, Tengchong, China",25.44012,98.44081,,7.29,,,73.8 C,71805996,93343,11,73.8,7.29,7.29,7.29,7.29,0,0,87270291.69
901,3300000865_3,88.46,2.74,MQ,,,Bacteria,3300000865,,3049304,2762,0,*Microbiome,Permanent Draft,"Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes","Hot spring sediment from Gongxiaoshe in Tengchong, China",Stanford University,3300000865,Metagenome Analysis,Gp0056412,"Gongxiaoshe pool, Tengchong, China",25.44012,98.44081,,7.29,,,73.8 C,71805996,93343,11,73.8,7.29,7.29,7.29,7.29,0,0,81173407.19
904,3300000865_7,96.16,2.46,MQ,,,Bacteria,3300000865,,2513063,2374,0,*Microbiome,Permanent Draft,"Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes","Hot spring sediment from Gongxiaoshe in Tengchong, China",Stanford University,3300000865,Metagenome Analysis,Gp0056412,"Gongxiaoshe pool, Tengchong, China",25.44012,98.44081,,7.29,,,73.8 C,71805996,93343,11,73.8,7.29,7.29,7.29,7.29,0,0,74673456.74
794,3300000866_11,95.47,0,MQ,,,Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermodesulfobacterium;Thermodesulfobacterium geofontis,3300000866,,1542721,1715,0,*Microbiome,Permanent Draft,"Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes","Hot spring sediment from Jinze in Tengchong, China",Stanford University,3300000866,Metagenome Analysis,Gp0056413,"Baoshan, Yunnan, China",25.44138,98.46004,,6.71,,,81.6 C,94676878,136697,16,81.6,6.71,6.71,6.71,6.71,0,0,99169244.79
795,3300000866_12,95.79,0,HQ,,,Archaea,3300000866,,1418943,1607,0,*Microbiome,Permanent Draft,"Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes","Hot spring sediment from Jinze in Tengchong, China",Stanford University,3300000866,Metagenome Analysis,Gp0056413,"Baoshan, Yunnan, China",25.44138,98.46004,,6.71,,,81.6 C,94676878,136697,16,81.6,6.71,6.71,6.71,6.71,0,0,98837955.95
796,3300000866_15,93.39,4.74,MQ,,,Archaea,3300000866,,1310564,1634,0,*Microbiome,Permanent Draft,"Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes","Hot spring sediment from Jinze in Tengchong, China",Stanford University,3300000866,Metagenome Analysis,Gp0056413,"Baoshan, Yunnan, China",25.44138,98.46004,,6.71,,,81.6 C,94676878,136697,16,81.6,6.71,6.71,6.71,6.71,0,0,101377961.2
797,3300000866_16,93.67,0.63,MQ,,,Archaea;Crenarchaeota;Thermoprotei,3300000866,,1410858,1578,0,*Microbiome,Permanent Draft,"Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes","Hot spring sediment from Jinze in Tengchong, China",Stanford University,3300000866,Metagenome Analysis,Gp0056413,"Baoshan, Yunnan, China",25.44138,98.46004,,6.71,,,81.6 C,94676878,136697,16,81.6,6.71,6.71,6.71,6.71,0,0,101074920.5
799,3300000866_21,89.24,0,MQ,,,Archaea,3300000866,,1040811,1233,0,*Microbiome,Permanent Draft,"Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes","Hot spring sediment from Jinze in Tengchong, China",Stanford University,3300000866,Metagenome Analysis,Gp0056413,"Baoshan, Yunnan, China",25.44138,98.46004,,6.71,,,81.6 C,94676878,136697,16,81.6,6.71,6.71,6.71,6.71,0,0,106092422.7
800,3300000866_4,81.48,2.04,MQ,,,Bacteria,3300000866,,2629138,2267,0,*Microbiome,Permanent Draft,"Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes","Hot spring sediment from Jinze in Tengchong, China",Stanford University,3300000866,Metagenome Analysis,Gp0056413,"Baoshan, Yunnan, China",25.44138,98.46004,,6.71,,,81.6 C,94676878,136697,16,81.6,6.71,6.71,6.71,6.71,0,0,116196462.9
