,scaffold_oid,taxon_oid,completeness,contamination,quality,16S/23S/5SrRNAs,tRNAs,lineage,gene_oid,Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,Scaffold ID,Scaffold Length (bp),Scaffold Read Depth,COG,Pfam,KO,Unnamed: 12,bin_name,total_base,gene_count
0,Ga0496362_000502,3300045873,99.07,1.87,medium,1,14,d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__B40-G2;g__;s__,3300045873 assembled Ga0496362_000502_26728_28266,3300045873 assembled Ga0496362_000502_26728_28266,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_000502,32966,39,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10010,,
1,Ga0496362_001013,3300045873,88.32,0,medium,2,13,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Ignisphaeraceae;g__Ignisphaera;s__,3300045873 assembled Ga0496362_001013_2510_4096,3300045873 assembled Ga0496362_001013_2510_4096,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_001013,22227,7,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10017,,
2,Ga0496362_001936,3300045873,88.32,0,medium,2,13,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Ignisphaeraceae;g__Ignisphaera;s__,3300045873 assembled Ga0496362_001936_11372_12946,3300045873 assembled Ga0496362_001936_11372_12946,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_001936,14197,7,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10017,,
4,Ga0496362_000131,3300045873,100,0,medium,1,16,d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__,3300045873 assembled Ga0496362_000131_32559_34040,3300045873 assembled Ga0496362_000131_32559_34040,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_000131,57071,25,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10020,,
5,Ga0496362_017016,3300045873,100,0,medium,1,16,d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__,3300045873 assembled Ga0496362_017016_373_2004,3300045873 assembled Ga0496362_017016_373_2004,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_017016,2815,14,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10020,,
6,Ga0496362_000078,3300045873,97.66,0,medium,2,16,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Ignisphaeraceae;g__Ignisphaera;s__,3300045873 assembled Ga0496362_000078_48416_49978,3300045873 assembled Ga0496362_000078_48416_49978,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_000078,70402,13,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10023,,
7,Ga0496362_002093,3300045873,100,0.93,medium,2,16,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WYZ-LMO2;s__WYZ-LMO2 sp004347865,3300045873 assembled Ga0496362_002093_3_1253,3300045873 assembled Ga0496362_002093_3_1253,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_002093,13467,14,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10027,,
8,Ga0496362_000740,3300045873,90.65,0,medium,2,9,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum sp001189275,3300045873 assembled Ga0496362_000740_20578_22176,3300045873 assembled Ga0496362_000740_20578_22176,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_000740,26315,284,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10031,,
9,Ga0496362_001253,3300045873,87.85,1.87,medium,2,3,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum;s__,3300045873 assembled Ga0496362_001253_2974_4494,3300045873 assembled Ga0496362_001253_2974_4494,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_001253,19056,7,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10033,,
10,Ga0496362_002029,3300045873,85.98,1.87,medium,2,11,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__EX4484-205;f__;g__;s__,3300045873 assembled Ga0496362_002029_9539_11083,3300045873 assembled Ga0496362_002029_9539_11083,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_002029,13775,10,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10034,,
