taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,GOLD Analysis Project Type,GOLD Sequencing Project ID,Geographic Location,Latitude,Longitude,Oxygen Concentration,pH,Salinity,Salinity Concentration,Sample Collection Temperature,Genome Size   * assembled,Gene Count   * assembled,Genome Bin Count   * assembled,temperature_num,pH_num,pH_low,pH_high,pH_avg,pH_range
638154517,Archaea,Finished,"Sulfolobus acidocaldarius 98-3, DSM 639","Sulfolobus acidocaldarius 98-3, DSM 639",Epidauros Biotechnologie AG,638154517.0,Genome Analysis (Isolate),Gp0000473,"Yellowstone National Park, Wyoming, USA",44.6633,-110.4927,,1-6,,,,2225959,2343,0.0,,,1.0,6.0,3.5,5.0
638154518,Archaea,Finished,Sulfolobus solfataricus P2,Saccharolobus solfataricus P2,"Association Nationale de la Recherche et de la Technologie (ANRT), European Union (EU)",638154518.0,Genome Analysis (Isolate),Gp0000728,Pisciarelli Solfatara,40.833335,14.149995,,2-4.5,,,,2992245,3141,0.0,,,2.0,4.5,3.25,2.5
638154519,Archaea,Finished,"Sulfolobus tokodaii 7, JCM 10545",Sulfurisphaera tokodaii 7,National Institute of Technology and Evaluation,638154519.0,Genome Analysis (Isolate),Gp0000723,Beppu Hot Springs in the geothermal area of Kyushu Island Japan,32.96666,131.03333,,2.5-3,,,,2694756,2982,0.0,,,2.5,3.0,2.75,0.5
639633001,Bacteria,Finished,Acidothermus cellulolyticus,Acidothermus cellulolyticus 11B,DOE Joint Genome Institute (JGI),639633001.0,Genome Analysis (Isolate),Gp0000258,Acid hot spring in Yellowstone,44.393704,-110.567703,,4-6,,,,2443540,2229,0.0,,,4.0,6.0,5.0,2.0
639633064,Archaea,Finished,Diverse archaeal organisms,Thermofilum pendens Hrk 5,DOE Joint Genome Institute (JGI),639633064.0,Genome Analysis (Isolate),Gp0000243,Solfataric hot spring in Iceland,,,,,,,88 C,1813393,1930,0.0,88.0,,,,,
640427106,Bacteria,Finished,Caldicellulosiruptor saccharolyticus,Caldicellulosiruptor saccharolyticus DSM 8903,DOE Joint Genome Institute (JGI),640427106.0,Genome Analysis (Isolate),Gp0000169,Hot spring in New Zealand,,,,7,,,65 C,2970275,2834,0.0,65.0,7.0,7.0,7.0,7.0,0.0
640427120,Archaea,Finished,Metallosphaera sedula DSM 5348,Metallosphaera sedula DSM 5348,DOE Joint Genome Institute (JGI),640427120.0,Genome Analysis (Isolate),Gp0000163,"Thermal pond, Pisciarelli Solfatara, Naples, Italy",40.833,14.15,,2,,,,2191517,2347,0.0,,2.0,2.0,2.0,2.0,0.0
640427135,Archaea,Finished,Pyrobaculum genomes,"Pyrobaculum arsenaticum PZ6, DSM 13514",DOE Joint Genome Institute (JGI),640427135.0,Genome Analysis (Isolate),Gp0000172,Hot spring at Pisciarelli Solfatara Naples Italy,40.829,14.13,,,,,95 C,2121076,2410,0.0,95.0,,,,,
640753047,Bacteria,Finished,"Chloroflexi, 7 species","Roseiflexus castenholzii HLO8, DSM 13941",DOE Joint Genome Institute (JGI),640753047.0,Genome Analysis (Isolate),Gp0000050,Bacterial mat in Nakabusa hot spring,,,,7.8-8.2,,,48 C,5723298,4509,0.0,48.0,,7.8,8.2,8.0,0.39999999999999947
641228483,Archaea,Finished,Caldivirga maquilingensis IC-167,Caldivirga maquilingensis IC-167,DOE Joint Genome Institute (JGI),641228483.0,Genome Analysis (Isolate),Gp0000025,Acidic hot spring in the Philippines,,,,,,,80 C,2077567,2011,0.0,80.0,,,,,
